accident_id,datetime,annee,mois,jour,heure,minute,departement,commune_insee,adresse,latitude,longitude,luminosite,agglomeration,intersection,meteo,collision,nb_vehicules,nb_usagers,nb_indemnes,nb_tues,nb_blesses_hosp,nb_blesses_legers,lum_code,agg_code,int_code,atm_code,col_code
201800000001,0018-01-24 15:05:00,18,1,24,15,5,590,5,route des Ansereuilles,50.55737,2.94992,Plein jour,Hors agglomération,Intersection en Y,Normale,Deux véhicules - frontale,,,,,,,1,1,4,1.0,1.0
201800000002,0018-02-12 10:15:00,18,2,12,10,15,590,11,Place du général de Gaul,50.52936,2.93151,Plein jour,En agglomération,Place,Temps éblouissant,Sans collision,,,,,,,1,2,7,7.0,7.0
201800000003,0018-03-04 11:35:00,18,3,4,11,35,590,477,Rue  nationale,50.51243,2.91714,Plein jour,En agglomération,Intersection en T,Normale,Sans collision,,,,,,,1,2,3,1.0,7.0
201800000004,0018-05-05 17:35:00,18,5,5,17,35,590,52,30 rue Jules Guesde,50.51974,2.89123,Plein jour,En agglomération,Hors intersection,Temps éblouissant,Deux véhicules - côté,,,,,,,1,2,1,7.0,3.0
201800000005,0018-06-26 16:05:00,18,6,26,16,5,590,477,72 rue Victor Hugo,50.51607,2.90605,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules - côté,,,,,,,1,2,1,1.0,3.0
201800000006,0018-09-23 06:30:00,18,9,23,6,30,590,52,D39,50.52132,2.88837,Crépuscule ou aube,En agglomération,Hors intersection,Pluie légère,Autre collision,,,,,,,2,2,1,2.0,6.0
201800000007,0018-09-26 00:40:00,18,9,26,0,40,590,133,4 route de camphin,50.52211,2.96652,Nuit avec éclairage allumé,En agglomération,Hors intersection,Normale,Autre collision,,,,,,,5,2,1,1.0,6.0
201800000008,0018-11-30 17:15:00,18,11,30,17,15,590,11,rue saint exupéry,50.53146,2.93875,Nuit avec éclairage allumé,En agglomération,Hors intersection,Normale,Autre collision,,,,,,,5,2,1,1.0,6.0
201800000009,0018-02-18 15:57:00,18,2,18,15,57,590,550,rue de l'égalité,50.53707,2.84896,Plein jour,Hors agglomération,Hors intersection,Normale,Autre collision,,,,,,,1,1,1,1.0,6.0
201800000010,0018-03-19 15:30:00,18,3,19,15,30,590,51,face au 59 rue de Lille,50.53639,2.81517,Plein jour,En agglomération,Intersection en X,Normale,Deux véhicules - frontale,,,,,,,1,2,2,1.0,1.0
201800000011,0018-05-28 18:30:00,18,5,28,18,30,590,51,76 route de Lille,50.54194,2.81987,Plein jour,En agglomération,Giratoire,Normale,Deux véhicules - côté,,,,,,,1,2,6,1.0,3.0
201800000012,0018-05-31 04:30:00,18,5,31,4,30,590,250,RN41-D 145,50.58465,2.90868,Nuit avec éclairage allumé,Hors agglomération,Giratoire,Brouillard / fumée,Autre collision,,,,,,,5,1,6,5.0,6.0
201800000013,0018-06-15 08:45:00,18,6,15,8,45,590,257,rue delval,50.61613,2.83783,Plein jour,Hors agglomération,Hors intersection,Normale,Deux véhicules - côté,,,,,,,1,1,1,1.0,3.0
201800000014,0018-07-19 10:22:00,18,7,19,10,22,590,51,26 rue d'estaires,50.53196,2.80251,Plein jour,En agglomération,Hors intersection,Normale,Autre collision,,,,,,,1,2,1,1.0,6.0
201800000015,0018-10-31 19:45:00,18,10,31,19,45,590,303,rue chobourdin,50.57886,2.85234,Nuit sans éclairage public,Hors agglomération,Hors intersection,Normale,Autre collision,,,,,,,3,1,1,1.0,6.0
201800000016,0018-01-15 07:25:00,18,1,15,7,25,590,398,Rue Nationale,50.51098,3.12175,Crépuscule ou aube,En agglomération,Intersection en X,Normale,Autre collision,,,,,,,2,2,2,1.0,6.0
201800000017,0018-02-09 15:15:00,18,2,9,15,15,590,129,rue de l'égalité,50.51293,3.16665,Plein jour,En agglomération,Hors intersection,Neige / grêle,Autre collision,,,,,,,1,2,1,4.0,6.0
201800000018,0018-04-07 11:45:00,18,4,7,11,45,590,71,CD 917,50.4803,3.13456,Plein jour,En agglomération,Intersection en T,Normale,Deux véhicules - arrière,,,,,,,1,2,3,1.0,2.0
201800000019,0018-04-17 16:10:00,18,4,17,16,10,590,197,Intersection CD 145 - Ru,50.54792,3.14516,Plein jour,Hors agglomération,Intersection en T,Temps éblouissant,Deux véhicules - arrière,,,,,,,1,1,3,7.0,2.0
201800000020,0018-05-27 16:00:00,18,5,27,16,0,590,586,rue de wachemy,50.54129,3.18902,Plein jour,Hors agglomération,Hors intersection,Normale,Sans collision,,,,,,,1,1,1,1.0,7.0
201800000021,0018-06-12 17:45:00,18,6,12,17,45,590,34,rue de Seclin,50.53925,3.07765,Plein jour,En agglomération,Hors intersection,Normale,Autre collision,,,,,,,1,2,1,1.0,6.0
201800000022,0018-07-12 17:00:00,18,7,12,17,0,590,398,1405 route nationale,50.5059,3.12429,Plein jour,En agglomération,Hors intersection,Normale,Autre collision,,,,,,,1,2,1,1.0,6.0
201800000023,0018-10-12 18:45:00,18,10,12,18,45,590,197,PONT THIBAUT,50.53476,3.10671,Crépuscule ou aube,Hors agglomération,Hors intersection,Normale,Deux véhicules - côté,,,,,,,2,1,1,1.0,3.0
201800000024,0018-12-05 11:33:00,18,12,5,11,33,590,586,Rue Grande Campagne,50.52832,3.17434,Plein jour,En agglomération,Hors intersection,Pluie légère,Autre collision,,,,,,,1,2,1,2.0,6.0
201800000025,0018-02-09 11:15:00,18,2,9,11,15,590,452,rue florent Evrard,50.45918,3.03419,Plein jour,En agglomération,Hors intersection,Neige / grêle,Sans collision,,,,,,,1,2,1,4.0,7.0
201800000026,0018-04-14 13:05:00,18,4,14,13,5,590,411,CD 954,50.47812,3.10784,Plein jour,Hors agglomération,Hors intersection,Normale,Deux véhicules - côté,,,,,,,1,1,1,1.0,3.0
201800000027,0018-03-28 17:00:00,18,3,28,17,0,590,87,RD943B,50.66745,2.45763,Plein jour,Hors agglomération,Intersection en X,Pluie légère,Trois véhicules et plus - collisions multiples,,,,,,,1,1,2,2.0,5.0
201800000028,0018-06-17 12:15:00,18,6,17,12,15,590,84,route d'hazebrouck,50.69514,2.42763,Plein jour,En agglomération,Hors intersection,Normale,Autre collision,,,,,,,1,2,1,1.0,6.0
201800000029,0018-09-16 14:30:00,18,9,16,14,30,590,184,RD642,50.7302,2.418,Plein jour,Hors agglomération,Hors intersection,Normale,Sans collision,,,,,,,1,1,1,1.0,7.0
201800000030,0018-01-13 19:50:00,18,1,13,19,50,590,535,rue de bailleul,50.76039,2.72401,Nuit avec éclairage allumé,En agglomération,Hors intersection,Normale,Sans collision,,,,,,,5,2,1,1.0,7.0
201800000031,0018-02-03 05:30:00,18,2,3,5,30,590,401,Route Départementale 642,50.73276,2.68824,Nuit sans éclairage public,Hors agglomération,Hors intersection,Temps couvert,Sans collision,,,,,,,3,1,1,8.0,7.0
201800000032,0018-05-01 15:15:00,18,5,1,15,15,590,401,6 rue nationale,50.73981,2.69707,Plein jour,En agglomération,Hors intersection,Normale,Autre collision,,,,,,,1,2,1,1.0,6.0
201800000033,0018-07-06 15:09:00,18,7,6,15,9,590,401,RD 642,50.73351,2.69505,Plein jour,Hors agglomération,Intersection en T,Normale,Trois véhicules et plus - collisions multiples,,,,,,,1,1,3,1.0,5.0
201800000034,0018-02-03 07:45:00,18,2,3,7,45,590,268,Rue du Grand Chemin,50.63499,2.73765,Crépuscule ou aube,Hors agglomération,Hors intersection,Normale,Deux véhicules - frontale,,,,,,,2,1,1,1.0,1.0
201800000035,0018-03-16 21:15:00,18,3,16,21,15,590,581,7 rue du pont de pierre,50.71101,2.76577,Nuit sans éclairage public,Hors agglomération,Hors intersection,Pluie légère,Autre collision,,,,,,,3,1,1,2.0,6.0
201800000036,0018-05-19 11:15:00,18,5,19,11,15,590,268,rue des clinques,50.63462,2.77135,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules - côté,,,,,,,1,2,1,1.0,3.0
201800000037,0018-07-01 09:45:00,18,7,1,9,45,590,581,rue de la Lys,50.6677,2.77069,Plein jour,Hors agglomération,Hors intersection,Normale,Deux véhicules - frontale,,,,,,,1,1,1,1.0,1.0
201800000038,0018-09-04 09:35:00,18,9,4,9,35,590,268,CD-947,50.63753,2.73673,Plein jour,Hors agglomération,Intersection en T,Normale,Deux véhicules - côté,,,,,,,1,1,3,1.0,3.0
201800000039,0018-10-10 07:00:00,18,10,10,7,0,590,268,RD 945,50.62599,2.73764,Nuit sans éclairage public,Hors agglomération,Hors intersection,Brouillard / fumée,Deux véhicules - arrière,,,,,,,3,1,1,5.0,2.0
201800000040,0018-10-16 11:30:00,18,10,16,11,30,590,581,Rue de la Lys,50.67304,2.78779,Plein jour,En agglomération,Intersection en T,Normale,Trois véhicules et plus - en chaîne,,,,,,,1,2,3,1.0,4.0
201800000041,0018-11-21 12:15:00,18,11,21,12,15,590,268,RUE DE VERDUN,50.6348,2.71447,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules - frontale,,,,,,,1,2,1,1.0,1.0
201800000042,0018-01-19 14:00:00,18,1,19,14,0,590,400,ROUTE DE CAUDESCURE,50.65537,2.6294,Plein jour,En agglomération,Hors intersection,Normale,Sans collision,,,,,,,1,2,1,1.0,7.0
201800000043,0018-07-09 07:30:00,18,7,9,7,30,590,293,rue du 8 mai 1945,50.62626,2.55111,Plein jour,Hors agglomération,Hors intersection,Temps éblouissant,Deux véhicules - frontale,,,,,,,1,1,1,7.0,1.0
201800000044,0018-09-29 18:00:00,18,9,29,18,0,590,400,rue de maroeuil,50.62556,2.62903,Plein jour,Hors agglomération,Hors intersection,Temps éblouissant,Deux véhicules - côté,,,,,,,1,1,1,7.0,3.0
201800000045,0018-10-28 18:45:00,18,10,28,18,45,590,400,rue d'aire,50.63912,2.59899,Nuit avec éclairage allumé,Hors agglomération,Hors intersection,Normale,Autre collision,,,,,,,5,1,1,1.0,6.0
201800000046,0018-10-28 00:20:00,18,10,28,0,20,590,400,RUE D AIRE,50.63898,2.59912,Nuit avec éclairage allumé,Hors agglomération,Intersection en T,Temps couvert,Sans collision,,,,,,,5,1,3,8.0,7.0
201800000047,0018-02-10 08:45:00,18,2,10,8,45,590,660,rue Jean Baptiste Lebas,50.63272,3.23652,Plein jour,En agglomération,Hors intersection,Temps éblouissant,Autre collision,,,,,,,1,2,1,7.0,6.0
201800000048,0018-11-10 16:50:00,18,11,10,16,50,590,44,Rue de Saint-Amand,50.60838,3.22961,Plein jour,Hors agglomération,Autre intersection,Normale,Deux véhicules - côté,,,,,,,1,1,9,1.0,3.0
201800000049,0018-01-16 12:15:00,18,1,16,12,15,590,523,rue du maréchal LECLERCQ,50.60049,3.16554,Plein jour,En agglomération,Hors intersection,Normale,Autre collision,,,,,,,1,2,1,1.0,6.0
201800000050,0018-03-22 13:52:00,18,3,22,13,52,590,106,rue felix dehau,50.57565,3.19834,Plein jour,En agglomération,Hors intersection,Pluie légère,Deux véhicules - frontale,,,,,,,1,2,1,2.0,1.0
201800000051,0018-08-26 15:30:00,18,8,26,15,30,590,42,Rte départementale,50.53908,3.2646,Plein jour,En agglomération,Hors intersection,Pluie légère,Deux véhicules - arrière,,,,,,,1,2,1,2.0,2.0
201800000052,0018-08-31 16:10:00,18,8,31,16,10,590,168,Impasse du collège,50.57068,3.21425,Plein jour,En agglomération,Intersection en T,Temps éblouissant,Deux véhicules - côté,,,,,,,1,2,3,7.0,3.0
201800000053,0018-09-06 12:50:00,18,9,6,12,50,590,106,D94,50.57674,3.19362,Plein jour,Hors agglomération,Giratoire,Pluie légère,Deux véhicules - côté,,,,,,,1,1,6,2.0,3.0
201800000054,0018-10-12 17:30:00,18,10,12,17,30,590,168,Route de valenciennes,50.56511,3.23544,Plein jour,En agglomération,Intersection en T,Normale,Deux véhicules - côté,,,,,,,1,2,3,1.0,3.0
