accident_id,datetime,annee,mois,jour,heure,minute,departement,commune_insee,adresse,latitude,longitude,luminosite,agglomeration,intersection,meteo,collision,catr,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,nb_vehicules,nb_usagers,nb_indemnes,nb_tues,nb_blesses_hosp,nb_blesses_legers,age_cond_1,age_cond_2,veh_type_cond_1,veh_type_cond_2,lum_code,agg_code,int_code,atm_code,col_code
202000000001,2020-03-07,2020,3,7,,,91,91657,HENRI BARBUSSE (AVENUE),,,Plein jour,En agglomération,Intersection en T,Normale,Deux véhicules - côté,4,2,2,0,1,1,1,0,1,50,2,2,1,0,1,0,37.0,38.0,voiture,deux_roues,1,2,3,1,3
202000000002,2020-03-07,2020,3,7,,,91,91657,MOUSSEAUX(CHEMIN),,,Crépuscule ou aube,En agglomération,Autre intersection,Temps éblouissant,Autre collision,4,2,2,0,1,3,1,0,1,50,1,2,1,0,0,1,23.0,,voiture,,2,2,9,7,6
202000000003,2020-03-07,2020,3,7,,,91,91174,CARNOT(AVENUE),,,Plein jour,En agglomération,Intersection en X,Normale,Deux véhicules - côté,4,-1,2,0,1,1,1,0,1,50,2,3,2,0,1,0,35.0,57.0,voiture,voiture,1,2,2,1,3
202000000004,2020-03-07,2020,3,7,,,91,91215,VICTOR HUGO (AVENUE),,,Nuit avec éclairage allumé,En agglomération,Hors intersection,Normale,Autre collision,4,2,2,0,1,1,1,0,1,30,1,2,1,0,1,0,29.0,,voiture,,5,2,1,1,6
202000000005,2020-03-07,2020,3,7,,,77,77181,LAGNY  (RUE DE  ) - D35,,,Plein jour,Hors agglomération,Giratoire,Normale,Deux véhicules - arrière,3,1,1,0,1,2,1,3,8,50,2,2,1,0,0,1,33.0,37.0,voiture,voiture,1,1,6,1,2
202000000006,2020-03-05,2020,3,5,,,76,76114,D6015,,,Crépuscule ou aube,Hors agglomération,Intersection en X,Pluie légère,Deux véhicules - côté,3,2,3,0,1,1,2,0,1,80,2,2,1,0,1,0,19.0,48.0,deux_roues,utilitaire_camion,2,1,2,2,3
202000000007,2020-03-06,2020,3,6,,,68,68297,Avenue du General de Gaulle,,,Nuit avec éclairage allumé,En agglomération,Hors intersection,Normale,Deux véhicules - arrière,3,2,6,0,1,1,1,0,1,50,2,4,1,0,0,3,31.0,33.0,voiture,voiture,5,2,1,1,2
202000000008,2020-03-07,2020,3,7,,,64,64024,Boulevard du Bayonne Anglet Biarritz,,,Plein jour,En agglomération,Intersection en T,Temps couvert,Deux véhicules - côté,4,2,4,0,1,1,2,5,1,50,2,2,1,0,1,0,40.0,69.0,voiture,deux_roues,1,2,3,8,3
202000000009,2020-03-06,2020,3,6,,,62,62757,CALAIS (RUE DE ....19A 71 ET 28 A 110),,,Plein jour,En agglomération,Intersection en X,Normale,Autre collision,3,2,2,0,1,1,1,5,1,50,1,2,1,0,1,0,55.0,,voiture,,1,2,2,1,6
202000000010,2020-03-04,2020,3,4,,,62,62540,CD941,,,Nuit sans éclairage public,Hors agglomération,Hors intersection,Normale,Deux véhicules - frontale,3,2,2,0,1,1,1,0,1,80,2,2,0,0,1,1,29.0,43.0,voiture,voiture,3,1,1,1,1
202000000011,2020-03-05,2020,3,5,,,59,59143,BEAUCHAMP  (RUE LEON ),,,Plein jour,En agglomération,Intersection en T,Normale,,7,2,3,0,1,3,1,0,1,50,2,2,1,0,0,1,86.0,15.0,voiture,deux_roues,1,2,3,1,-1
202000000012,2020-03-07,2020,3,7,,,56,56260,LECLERC(RUE DU MARECHAL),,,Nuit avec éclairage non allumé,En agglomération,Hors intersection,Normale,Autre collision,4,2,2,0,1,1,1,0,1,50,1,2,1,0,1,0,21.0,,voiture,,4,2,1,1,6
202000000013,2020-03-07,2020,3,7,,,54,54578,MULLER (AVENUE PAUL),,,Nuit avec éclairage allumé,Hors agglomération,Hors intersection,Normale,Autre collision,4,3,2,0,1,1,1,0,1,50,1,1,0,0,1,0,29.0,,voiture,,5,1,1,1,6
202000000014,2020-03-07,2020,3,7,,,51,51454,Avenue de l’Europe,,,Plein jour,En agglomération,Place,Normale,Deux véhicules - arrière,4,2,2,1,1,3,1,0,1,50,2,2,1,0,0,1,84.0,92.0,deux_roues,voiture,1,2,7,1,2
