"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"Type Accident - Libellé (old)";"CNIT";"Catégorie véhicule";"Age véhicule"
"58 720";"A";"2021";"Métropole";"Accident grave non mortel";"MJT5562EV674";"VT";"13"
"58 720";"B";"2021";"Métropole";"Accident grave non mortel";"MJT1272R5676";"VT";"12"
"58 721";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"VT";"16"
"58 722";"A";"2021";"Métropole";"Accident Léger";"M10FATVP001U442";"VT";"9"
"58 722";"B";"2021";"Métropole";"Accident Léger";"M10DACVP001T424";"VT";"1"
"58 723";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"VT";"20"
"58 724";"A";"2021";"Métropole";"Accident Léger";"MRE1011FP141";"VT";"14"
"58 725";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"0"
"58 725";"B";"2021";"Métropole";"Accident Léger";"M10DACVP000V815";"VT";"6"
"58 726";"A";"2021";"Autres OM";"Accident grave non mortel";"N/A";"VU";"7"
"58 727";"A";"2021";"Métropole";"Accident grave non mortel";"LJS1AN405385";"Moto lourde";"11"
"58 727";"B";"2021";"Métropole";"Accident grave non mortel";"MPC2901AX177";"VT";"20"
"58 728";"A";"2021";"Métropole";"Accident Léger";"MRE5522AS872";"VT";"12"
"58 728";"B";"2021";"Métropole";"Accident Léger";"MPE1202DU168";"VT";"20"
"58 728";"C";"2021";"Métropole";"Accident Léger";"N/A";"VT";"20"
"58 729";"A";"2021";"Métropole";"Accident Léger";"M10DACVP000Z819";"VT";"5"
"58 731";"A";"2021";"Métropole";"Accident Léger";"MPL5161FP597";"VT";"19"
"58 732";"A";"2021";"Métropole";"Accident Léger";"M10FRDVP000X093";"VT";"11"
"58 733";"A";"2021";"Métropole";"Accident grave non mortel";"LYM19N40V316";"Moto lourde";"12"
"58 734";"A";"2021";"Métropole";"Accident Léger";"MPE1111K9248";"VT";"13"
"58 735";"A";"2021";"DOM";"Accident mortel";"L3EKWAM1000Z298";"Moto lourde";"1"
"58 736";"A";"2021";"Métropole";"Accident Léger";"M10RENVP5220596";"VT";"3"
"58 736";"B";"2021";"Métropole";"Accident Léger";"MDD5002CT068";"VT";"11"
"58 737";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"VT";"18"
"58 738";"A";"2021";"Métropole";"Accident Léger";"M10RENVP572M410";"VT";"2"
"58 738";"B";"2021";"Métropole";"Accident Léger";"XL83B344243GC15";"VT";"35"
"58 738";"C";"2021";"Métropole";"Accident Léger";"M10JT0VP0303464";"VT";"0"
"58 739";"A";"2021";"Métropole";"Accident Léger";"M10CTRVP0669159";"VT";"1"
"58 739";"B";"2021";"Métropole";"Accident Léger";"N/A";"VT";"11"
"58 739";"C";"2021";"Métropole";"Accident Léger";"N/A";"VT";"0"
"58 740";"A";"2021";"Métropole";"Accident Léger";"M10RENVP3344727";"VT";"7"
"58 740";"B";"2021";"Métropole";"Accident Léger";"M10NSSVP000H685";"VT";"9"
"58 740";"C";"2021";"Métropole";"Accident Léger";"WBAER91030KK087";"VT";"18"
"58 741";"A";"2021";"Métropole";"Accident Léger";"MPL1162FV455";"VT";"18"
"58 742";"A";"2021";"Métropole";"Accident Léger";"MJT3052RR315";"VT";"16"
"58 743";"A";"2021";"Métropole";"Accident Léger";"MRE1112EJ451";"VT";"16"
"58 744";"A";"2021";"Métropole";"Accident Léger";"MRE1111EL650";"VT";"16"
"58 744";"B";"2021";"Métropole";"Accident Léger";"M10RENVP473C086";"VT";"0"
"58 745";"A";"2021";"Métropole";"Accident Léger";"MPE5101KX322";"VT";"21"
"58 746";"A";"2021";"Métropole";"Accident Léger";"M10FATVP002Y930";"VT";"7"
"58 747";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"20"
"58 747";"B";"2021";"Métropole";"Accident Léger";"M10MCWVPD38H991";"VT";"1"
"58 748";"A";"2021";"Métropole";"Accident Léger";"LGG94570T642";"Moto lourde";"12"
"58 748";"B";"2021";"Métropole";"Accident Léger";"MFD52E25B233";"VT";"13"
"58 749";"A";"2021";"Métropole";"Accident Léger";"L3EYAMM2000U324";"Moto lourde";"7"
"58 749";"B";"2021";"Métropole";"Accident Léger";"MMB53T4Y3162";"VT";"15"
"58 750";"A";"2021";"Métropole";"Accident Léger";"LBEYAMM10004038";"Moto lourde";"10"
"58 751";"Z";"2021";"Métropole";"Accident grave non mortel";"N/A";"Indéterminable";"N/A"
"58 752";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"7"
"58 752";"B";"2021";"Métropole";"Accident Léger";"M10HMCVP000V289";"VT";"11"
"58 752";"C";"2021";"Métropole";"Accident Léger";"WVW53E6WZB03";"VT";"13"
"58 753";"A";"2021";"Métropole";"Accident Léger";"M10RENVP472E768";"VT";"4"
"58 753";"Z";"2021";"Métropole";"Accident Léger";"MRE5236AD066";"VT";"12"
"58 754";"A";"2021";"Métropole";"Accident mortel";"MPE1111R2367";"VT";"13"
"58 754";"B";"2021";"Métropole";"Accident mortel";"M10BMWVP0145077";"VT";"7"
"58 755";"A";"2021";"Métropole";"Accident Léger";"MDD1102BX003";"VT";"2"
"58 755";"B";"2021";"Métropole";"Accident Léger";"M10PGTVP000J416";"VT";"10"
"58 755";"C";"2021";"Métropole";"Accident Léger";"MPE5202K0410";"VT";"20"
"58 756";"A";"2021";"Métropole";"Accident Léger";"MMG1505EY103";"VT";"17"
"58 756";"B";"2021";"Métropole";"Accident Léger";"N/A";"Autres";"N/A"
"58 757";"A";"2021";"Métropole";"Accident Léger";"MLD6404DN264";"VT";"20"
"58 757";"B";"2021";"Métropole";"Accident Léger";"MSE5002G6373";"VT";"21"
"58 758";"A";"2021";"Métropole";"Accident grave non mortel";"M10RENVP003A579";"VT";"9"
"58 758";"B";"2021";"Métropole";"Accident grave non mortel";"M10NSSVP0004647";"VT";"9"
"58 759";"A";"2021";"Métropole";"Accident grave non mortel";"MRE1131FY466";"VT";"11"
"58 760";"A";"2021";"Métropole";"Accident Léger";"MFT5102H9958";"VT";"19"
"58 760";"B";"2021";"Métropole";"Accident Léger";"MFD16D2SE467";"VT";"16"
"58 761";"A";"2021";"Métropole";"Accident grave non mortel";"M10RENVP000R878";"VT";"10"
"58 762";"A";"2021";"Métropole";"Accident grave non mortel";"M10HNDVP000W640";"VT";"4"
"58 763";"A";"2021";"DOM";"Accident grave non mortel";"N/A";"Moto légère";"1"
"58 763";"B";"2021";"DOM";"Accident grave non mortel";"N/A";"VU";"15"
"58 764";"A";"2021";"Autres OM";"Accident grave non mortel";"lbmc25e00f40899";"Cyclo";"5"
"58 764";"B";"2021";"Autres OM";"Accident grave non mortel";"zapc25000090316";"Cyclo";"6"
"58 765";"A";"2021";"DOM";"Accident grave non mortel";"N/A";"Autres";"N/A"
"58 766";"A";"2021";"DOM";"Accident grave non mortel";"M10DACVP000X659";"VT";"7"
"58 766";"B";"2021";"DOM";"Accident grave non mortel";"MVW50G2CV121";"VT";"18"
"58 766";"C";"2021";"DOM";"Accident grave non mortel";"N10CTRCT004E600";"VU";"7"
"58 767";"A";"2021";"DOM";"Accident grave non mortel";"L3EHNDML000J633";"Moto légère";"4"
"58 767";"B";"2021";"DOM";"Accident grave non mortel";"M10RENVP168X825";"VT";"7"
"58 768";"A";"2021";"DOM";"Accident grave non mortel";"M10PGTVP049R192";"VT";"2"
"58 768";"B";"2021";"DOM";"Accident grave non mortel";"M10VWGVPT46F210";"VT";"1"
"58 769";"A";"2021";"Métropole";"Accident grave non mortel";"M10FATVP0226300";"VT";"6"
"58 769";"B";"2021";"Métropole";"Accident grave non mortel";"M10VWGVP291L470";"VT";"7"
"58 770";"A";"2021";"Métropole";"Accident Léger";"M10LNCVP0005161";"VT";"9"
"58 770";"B";"2021";"Métropole";"Accident Léger";"M10PGTVP000Z371";"VT";"10"
"58 771";"A";"2021";"Métropole";"Accident grave non mortel";"MPE3302K0697";"VT";"16"
"58 771";"B";"2021";"Métropole";"Accident grave non mortel";"M10HMCVP002P863";"VT";"0"
"58 772";"A";"2021";"DOM";"Accident grave non mortel";"M10K1AVP001G512";"VT";"7"
"58 773";"A";"2021";"Métropole";"Accident mortel";"L3EHDAM2000T507";"Moto lourde";"0"
"58 775";"A";"2021";"Métropole";"Accident mortel";"MHY6301F9966";"VT";"20"
"58 776";"A";"2021";"Métropole";"Accident Léger";"M10PGTVP0996764";"VT";"0"
"58 776";"B";"2021";"Métropole";"Accident Léger";"M10VWGVP011Z146";"VT";"9"
"58 776";"C";"2021";"Métropole";"Accident Léger";"M10VWGVPT69Y260";"VT";"1"
"58 777";"A";"2021";"Métropole";"Accident mortel";"N/A";"VT";"26"
"58 778";"A";"2021";"Métropole";"Accident grave non mortel";"M10PGTVP037R229";"VT";"4"
"58 778";"B";"2021";"Métropole";"Accident grave non mortel";"MBM1444NL590";"VT";"13"
"58 779";"A";"2021";"Métropole";"Accident mortel";"M10CTRVP000W395";"VT";"10"
"58 780";"A";"2021";"Métropole";"Accident grave non mortel";"MRV5302CR450";"VT";"21"
"58 781";"A";"2021";"Métropole";"Accident grave non mortel";"M10RENVP377A532";"VT";"5"
"58 782";"A";"2021";"Métropole";"Accident grave non mortel";"MJT6562BJ564";"VT";"14"
"58 782";"B";"2021";"Métropole";"Accident grave non mortel";"M10RENVPA396596";"VT";"1"
"58 783";"A";"2021";"Métropole";"Accident grave non mortel";"MRE5002EK998";"VT";"18"
"58 783";"B";"2021";"Métropole";"Accident grave non mortel";"L1ESHECL0001086";"Cyclo";"1"
"58 784";"A";"2021";"Métropole";"Accident mortel";"MAU5402FM916";"VT";"22"
"58 785";"A";"2021";"Métropole";"Accident grave non mortel";"L1ESKCCL000N132";"Cyclo";"0"
"58 786";"A";"2021";"Métropole";"Accident Léger";"L5EPGGTM0000860";"Moto lourde";"2"
"58 786";"B";"2021";"Métropole";"Accident Léger";"M10BMWVP0227168";"VT";"6"
"58 787";"A";"2021";"Métropole";"Accident grave non mortel";"MRE1422EL556";"VT";"13"
"58 788";"A";"2021";"Métropole";"Accident Léger";"M10CTRVP000P557";"VT";"9"
"58 789";"A";"2021";"Métropole";"Accident Léger";"M10SETVP000F871";"VT";"9"
"58 789";"B";"2021";"Métropole";"Accident Léger";"MPE5212TN326";"VT";"13"
"58 789";"C";"2021";"Métropole";"Accident Léger";"N/A";"VT";"11"
"58 789";"D";"2021";"Métropole";"Accident Léger";"M10K1AVP0023595";"VT";"4"
"58 789";"E";"2021";"Métropole";"Accident Léger";"M10RENVPA670043";"VT";"0"
"58 790";"A";"2021";"DOM";"Accident grave non mortel";"M10SETVP006M351";"VT";"3"
"58 790";"B";"2021";"DOM";"Accident grave non mortel";"L3EHNDM2000U592";"Moto lourde";"3"
"58 791";"A";"2021";"DOM";"Accident Léger";"M10VWGVP000W578";"VT";"10"
"58 792";"A";"2021";"Métropole";"Accident Léger";"MRE5112EU124";"VT";"18"
"58 793";"A";"2021";"Métropole";"Accident mortel";"MC35602HP883";"VT";"14"
"58 794";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"VT";"24"
"58 795";"A";"2021";"DOM";"Accident mortel";"N/A";"Cyclo";"9"
"58 795";"B";"2021";"DOM";"Accident mortel";"N/A";"Moto légère";"N/A"
"58 796";"A";"2021";"Métropole";"Accident Léger";"MPL53B6R3325";"VT";"15"
"58 796";"B";"2021";"Métropole";"Accident Léger";"N/A";"Moto lourde";"3"
"58 797";"A";"2021";"Métropole";"Accident Léger";"N/A";"Moto légère";"5"
"58 797";"B";"2021";"Métropole";"Accident Léger";"MRE1302EB777";"VT";"20"
"58 798";"A";"2021";"Métropole";"Accident Léger";"M10DACVP000Z819";"VT";"6"
"58 799";"A";"2021";"Métropole";"Accident Léger";"MMN1201AM029";"VT";"18"
"58 799";"B";"2021";"Métropole";"Accident Léger";"PRC3CUJZ6T4NARR";"PL";"1"
"58 800";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"21"
"58 801";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"5"
"58 801";"B";"2021";"Métropole";"Accident Léger";"N/A";"VT";"9"
"58 801";"C";"2021";"Métropole";"Accident Léger";"N/A";"VT";"1"
"58 801";"D";"2021";"Métropole";"Accident Léger";"N/A";"VT";"13"
"58 802";"A";"2021";"Métropole";"Accident Léger";"N10RENCT5001846";"VU";"3"
"58 802";"B";"2021";"Métropole";"Accident Léger";"M10VWGVP001R280";"VT";"10"
"58 803";"A";"2021";"Métropole";"Accident Léger";"MAL5601K9501";"VT";"15"
"58 803";"B";"2021";"Métropole";"Accident Léger";"MRE1001EL043";"VT";"20"
"58 804";"A";"2021";"Métropole";"Accident Léger";"MRE5216AN915";"VT";"14"
"58 805";"A";"2021";"Métropole";"Accident Léger";"N/A";"Autres";"7"
"58 806";"Z";"2021";"Métropole";"Accident Léger";"N/A";"VT";"N/A"
"58 807";"A";"2021";"Métropole";"Accident Léger";"MVW10D1R8904";"VT";"18"
"58 807";"B";"2021";"Métropole";"Accident Léger";"MPL5572MB095";"VT";"18"
"58 808";"A";"2021";"Métropole";"Accident grave non mortel";"LPB22E209184";"Moto légère";"16"
"58 809";"A";"2021";"Métropole";"Accident Léger";"N10CTRCT0293212";"VU";"5"
"58 809";"B";"2021";"Métropole";"Accident Léger";"MFD55F2SP472";"VT";"13"
